"0,010","41,296","3,23E+01","9,05E+00"
"0,011","42,423","3,39E+01","8,55E+00"
"0,012","43,539","3,54E+01","8,12E+00"
"0,013","44,654","3,69E+01","7,73E+00"
"0,014","45,748","3,84E+01","7,39E+00"
"0,015","46,826","3,98E+01","7,08E+00"
"0,016","47,894","4,11E+01","6,79E+00"
"0,017","48,956","4,24E+01","6,54E+00"
"0,018",50,"4,37E+01","6,30E+00"
"0,020","52,041","4,62E+01","5,88E+00"
"0,023","54,52","4,91E+01","5,44E+00"
"0,025","56,927","5,19E+01","5,07E+00"
"0,028","59,259","5,45E+01","4,75E+00"
"0,030","61,532","5,71E+01","4,47E+00"
"0,033","63,74","5,95E+01","4,23E+00"
"0,035","65,895","6,19E+01","4,02E+00"
"0,038","67,994","6,42E+01","3,82E+00"
"0,040","70,042","6,64E+01","3,65E+00"
"0,045","74,005","7,07E+01","3,36E+00"
"0,050","77,808","7,47E+01","3,11E+00"
"0,055","81,478","7,86E+01","2,90E+00"
"0,060","85,008","8,23E+01","2,72E+00"
"0,065","88,42","8,59E+01","2,56E+00"
"0,070","91,722","8,93E+01","2,42E+00"
"0,080","98,05","9,59E+01","2,19E+00"
"0,090","104,002","1,02E+02","2,00E+00"
"0,100","109,746","1,08E+02","1,85E+00"
"0,110","115,115","1,13E+02","1,72E+00"
"0,120","120,303","1,19E+02","1,60E+00"
"0,130","125,306","1,24E+02","1,51E+00"
"0,140","130,021","1,29E+02","1,42E+00"
"0,150","134,546","1,33E+02","1,35E+00"
"0,160","138,979","1,38E+02","1,28E+00"
"0,170","143,219","1,42E+02","1,22E+00"
"0,180","147,264","1,46E+02","1,16E+00"
"0,200","154,87","1,54E+02","1,07E+00"
"0,225","163,5737","1,63E+02","9,74E-01"
"0,250","171,4942","1,71E+02","8,94E-01"
"0,275","178,6277","1,78E+02","8,28E-01"
"0,300","185,071","1,84E+02","7,71E-01"
"0,325","190,8222","1,90E+02","7,22E-01"
"0,350","195,8796","1,95E+02","6,80E-01"
"0,375","200,4421","2,00E+02","6,42E-01"
"0,400","204,4088","2,04E+02","6,09E-01"
"0,450","210,7523","2,10E+02","5,52E-01"
"0,500","215,306","2,15E+02","5,06E-01"
"0,550","218,3674","2,18E+02","4,67E-01"
"0,600","220,1346","2,20E+02","4,35E-01"
"0,650","220,8064","2,20E+02","4,06E-01"
"0,700","220,6819","2,20E+02","3,82E-01"
"0,800","218,4412","2,18E+02","3,41E-01"
"0,900","214,5089","2,14E+02","3,09E-01"
"1,000","209,6824","2,09E+02","2,82E-01"
"1,100","204,2604","2,04E+02","2,60E-01"
"1,200","198,7418","1,99E+02","2,42E-01"
"1,300","193,3258","1,93E+02","2,26E-01"
"1,400","188,0119","1,88E+02","2,12E-01"
"1,500","182,7997","1,83E+02","2,00E-01"
"1,600","177,889","1,78E+02","1,89E-01"
"1,700","173,1794","1,73E+02","1,79E-01"
"1,800","168,6707","1,69E+02","1,71E-01"
"2,000","160,2559","1,60E+02","1,56E-01"
"2,250","150,8408","1,51E+02","1,41E-01"
"2,500","142,3285","1,42E+02","1,29E-01"
"2,750","134,7183","1,35E+02","1,18E-01"
"3,000","127,9096","1,28E+02","1,10E-01"
"3,250","121,7022","1,22E+02","1,02E-01"
"3,500","116,09583","1,16E+02","9,58E-02"
"3,750","110,99022","1,11E+02","9,02E-02"
"4,000","106,28526","1,06E+02","8,53E-02"
"4,500","98,18689","9,81E+01","7,69E-02"
"5,000","91,30009","9,12E+01","7,01E-02"
"5,500","85,38445","8,53E+01","6,45E-02"
"6,000","80,25969","8,02E+01","5,97E-02"
"6,500","75,77562","7,57E+01","5,56E-02"
"7,000","71,80209","7,18E+01","5,21E-02"
"8,000","65,09628","6,51E+01","4,63E-02"
"9,000","60,83169","6,08E+01","4,17E-02"
"10,000","56,44796","5,64E+01","3,80E-02"
"11,000","52,36488","5,23E+01","3,49E-02"
"12,000","48,89228","4,89E+01","3,23E-02"
"13,000","45,89005","4,59E+01","3,01E-02"
"14,000","43,27813","4,33E+01","2,81E-02"
"15,000","40,97645","4,10E+01","2,65E-02"
"16,000","38,93496","3,89E+01","2,50E-02"
"17,000","37,10364","3,71E+01","2,36E-02"
"18,000","35,45246","3,54E+01","2,25E-02"
"20,000","32,59044","3,26E+01","2,04E-02"
"22,500","29,65839","2,96E+01","1,84E-02"
"25,000","27,25673","2,72E+01","1,67E-02"
"27,500","25,24535","2,52E+01","1,54E-02"
"30,000","23,53419","2,35E+01","1,42E-02"
"32,500","22,0532","2,20E+01","1,32E-02"
"35,000","20,77235","2,08E+01","1,24E-02"
"37,500","19,6416","1,96E+01","1,16E-02"
"40,000","18,64095","1,86E+01","1,10E-02"
"45,000","16,92984","1,69E+01","9,84E-03"
"50,000","15,538944","1,55E+01","8,94E-03"
"55,000","14,378204","1,44E+01","8,20E-03"
"60,000","13,387581","1,34E+01","7,58E-03"
"65,000","12,537049","1,25E+01","7,05E-03"
"70,000","11,79659","1,18E+01","6,59E-03"
"80,000","10,575836","1,06E+01","5,84E-03"
"90,000","9,606243","9,60E+00","5,24E-03"
"100,000","8,813763","8,81E+00","4,76E-03"
